2018-03-04 10:08:13,433 |main                 |ContainerBase                 |F| Add child StandardHost[localhost] StandardEngine[Catalina]
2018-03-04 10:12:43,840 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [INITIALIZING]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [INITIALIZED]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [STARTING_PREP]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [STARTING]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@a39ba6a] to [STARTED]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ac29327] to [INITIALIZING]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ac29327] to [INITIALIZED]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ac29327] to [STARTING_PREP]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ac29327] to [STARTING]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ac29327] to [STARTED]
2018-03-04 10:12:43,841 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@528ec425] to [INITIALIZING]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@528ec425] to [INITIALIZED]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@528ec425] to [STARTING_PREP]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@528ec425] to [STARTING]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@528ec425] to [STARTED]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@648894a8] to [INITIALIZING]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@648894a8] to [INITIALIZED]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@648894a8] to [STARTING_PREP]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@648894a8] to [STARTING]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@648894a8] to [STARTED]
2018-03-04 10:12:43,842 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@cde8582] to [INITIALIZING]
2018-03-04 10:12:43,843 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@cde8582] to [INITIALIZED]
2018-03-04 10:12:43,843 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@cde8582] to [STARTING_PREP]
2018-03-04 10:12:43,843 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@cde8582] to [STARTING]
2018-03-04 10:12:43,843 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@cde8582] to [STARTED]
2018-03-04 10:12:43,843 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@42c445f9] to [INITIALIZING]
2018-03-04 10:12:43,843 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@42c445f9] to [INITIALIZED]
2018-03-04 10:12:43,843 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@42c445f9] to [STARTING_PREP]
2018-03-04 10:12:43,843 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@42c445f9] to [STARTING]
2018-03-04 10:12:43,844 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@42c445f9] to [STARTED]
2018-03-04 10:12:43,844 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7017a57c] to [INITIALIZING]
2018-03-04 10:12:43,844 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7017a57c] to [INITIALIZED]
2018-03-04 10:12:43,844 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7017a57c] to [STARTING_PREP]
2018-03-04 10:12:43,844 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7017a57c] to [STARTING]
2018-03-04 10:12:43,844 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7017a57c] to [STARTED]
2018-03-04 10:12:43,844 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5c0caa3b] to [INITIALIZING]
2018-03-04 10:12:43,845 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5c0caa3b] to [INITIALIZED]
2018-03-04 10:12:43,845 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5c0caa3b] to [STARTING_PREP]
2018-03-04 10:12:43,845 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5c0caa3b] to [STARTING]
2018-03-04 10:12:43,845 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5c0caa3b] to [STARTED]
2018-03-04 10:12:43,845 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5afff497] to [INITIALIZING]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5afff497] to [INITIALIZED]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5afff497] to [STARTING_PREP]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5afff497] to [STARTING]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@5afff497] to [STARTED]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@225ab7a] to [INITIALIZING]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@225ab7a] to [INITIALIZED]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@225ab7a] to [STARTING_PREP]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@225ab7a] to [STARTING]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@225ab7a] to [STARTED]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6bf8b194] to [INITIALIZING]
2018-03-04 10:12:43,846 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6bf8b194] to [INITIALIZED]
2018-03-04 10:12:43,847 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6bf8b194] to [STARTING_PREP]
2018-03-04 10:12:43,847 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6bf8b194] to [STARTING]
2018-03-04 10:12:43,847 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6bf8b194] to [STARTED]
2018-03-04 10:12:43,847 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6f3d4ac3] to [INITIALIZING]
2018-03-04 10:12:43,847 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6f3d4ac3] to [INITIALIZED]
2018-03-04 10:12:43,847 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6f3d4ac3] to [STARTING_PREP]
2018-03-04 10:12:43,847 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6f3d4ac3] to [STARTING]
2018-03-04 10:12:43,847 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6f3d4ac3] to [STARTED]
2018-03-04 10:12:43,847 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ee9f2e8] to [INITIALIZING]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ee9f2e8] to [INITIALIZED]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ee9f2e8] to [STARTING_PREP]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ee9f2e8] to [STARTING]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ee9f2e8] to [STARTED]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [INITIALIZING]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [INITIALIZED]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [STARTING_PREP]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [STARTING]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@7ea4ece5] to [STARTED]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [INITIALIZING]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [INITIALIZED]
2018-03-04 10:12:43,848 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [STARTING_PREP]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [STARTING]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@15f47d2d] to [STARTED]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [INITIALIZING]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [INITIALIZED]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [STARTING_PREP]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [STARTING]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [STARTED]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [INITIALIZING]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [INITIALIZED]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [STARTING_PREP]
2018-03-04 10:12:43,849 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [STARTING]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [STARTED]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [INITIALIZING]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [INITIALIZED]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [STARTING_PREP]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [STARTING]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [STARTED]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [INITIALIZING]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [INITIALIZED]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [STARTING_PREP]
2018-03-04 10:12:43,850 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [STARTING]
